No intervalo [-1.0, 0.0],

k            Xk                   f(Xk)                ek
0           -1.00000000           60.00000000          0.00000000
1            0.00000000          -2.00000000           0.00000000
2           -0.50000000           10.93750000          0.50000000
3           -0.25000000           2.19140625           0.25000000
4           -0.12500000          -0.30151367           0.12500000
5           -0.18750000           0.82893372           0.18750000
6           -0.15625000           0.23709583           0.15625000
7           -0.14062500          -0.03859013           0.14062500
8           -0.14843750           0.09762468           0.14843750
9           -0.14453125           0.02911441           0.14453125
10          -0.14257812          -0.00483806           0.14257812
11          -0.14355469           0.01211306           0.14355469
12          -0.14306641           0.00363123           0.14306641
13          -0.14282227          -0.00060498           0.14282227
14          -0.14294434           0.00151273           0.14294434
15          -0.14288330           0.00045378           0.14288330
16          -0.14285278          -0.00007563           0.14285278
17          -0.14286804           0.00018907           0.14286804
18          -0.14286041           0.00005672           0.14286041
19          -0.14285660          -0.00000945           0.14285660
20          -0.14285851           0.00002363           0.14285851
21          -0.14285755           0.00000709           0.14285755
No intervalo [-0.50000000, 0.00000000],

k            Xk                   f(Xk)                ek
0           -0.50000000           10.93750000          0.00000000
1            0.00000000          -2.00000000           0.00000000
1           -0.27564103           2.82722763           0.27564103
2           -0.16580660           0.41223071           0.16580660
3           -0.14363267           0.01346876           0.14363267
4           -0.14285805           0.00001579           0.14285805
5           -0.14285714           0.00000000           0.14285714
No intervalo [-1.00000000, 0.00000000],

k            Xk                   f(Xk)                ek
0           -1.00000000           60.00000000          0.00000000
1            0.00000000          -2.00000000           0.00000000
2           -0.03225806          -1.62499824           0.03225806
3           -0.17204220           0.52924777           0.17204220
4           -0.13770052          -0.08875588           0.13770052
5           -0.14263257          -0.00389435           0.14263257
6           -0.14285890           0.00003055           0.14285890
7           -0.14285714          -0.00000001           0.14285714
8           -0.14285714          -0.00000000           0.14285714
No intervalo [-1.0, 0.0],

k            Xk                   f(Xk)                ek
0           -1.00000000           60.00000000          0.00000000
1            0.00000000          -2.00000000           0.00000000
2           -0.03225806          -1.62499824           0.03225806
3           -0.05777659          -1.29867746           0.05777659
4           -0.07773859          -1.02411833           0.07773859
5           -0.09321616          -0.79903118           0.09321616
6           -0.10513326          -0.61817909           0.10513326
7           -0.11425904          -0.47511566           0.11425904
8           -0.12121776          -0.36329691           0.12121776
9           -0.12650671          -0.27670177           0.12650671
10          -0.13051651          -0.21011188           0.13051651
11          -0.13355070          -0.15918013           0.13355070
12          -0.13584331          -0.12038338           0.13584331
13          -0.13757367          -0.09092169           0.13757367
14          -0.13887858          -0.06860125           0.13887858
15          -0.13986202          -0.05172099           0.13986202
16          -0.14060284          -0.03897199           0.14060284
17          -0.14116068          -0.02935287           0.14116068
18          -0.14158063          -0.02210076           0.14158063
19          -0.14189671          -0.01663632           0.14189671
20          -0.14213457          -0.01252065           0.14213457
21          -0.14231355          -0.00942185           0.14231355
22          -0.14244822          -0.00708924           0.14244822
23          -0.14254953          -0.00533371           0.14254953
24          -0.14262574          -0.00401267           0.14262574
25          -0.14268308          -0.00301868           0.14268308
26          -0.14272621          -0.00227085           0.14272621
27          -0.14275865          -0.00170823           0.14275865
28          -0.14278306          -0.00128498           0.14278306
29          -0.14280142          -0.00096659           0.14280142
30          -0.14281523          -0.00072708           0.14281523
31          -0.14282561          -0.00054691           0.14282561
32          -0.14283343          -0.00041139           0.14283343
33          -0.14283930          -0.00030944           0.14283930
34          -0.14284372          -0.00023276           0.14284372
35          -0.14284705          -0.00017508           0.14284705
36          -0.14284955          -0.00013170           0.14284955
37          -0.14285143          -0.00009906           0.14285143
38          -0.14285285          -0.00007451           0.14285285
39          -0.14285391          -0.00005605           0.14285391
40          -0.14285471          -0.00004216           0.14285471
